,method,parameter,total_features,noise_level,noisy_score,score,features_names,feature_weights,feature_complexities
630,omp,4,22,1.0,0.9155044748759655,0.9999987975392646,"['Bool[holding]', 'Bool[Exists(on,Nominal(a))]', 'Num[Exists(on,ontable)]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9977524990657463, -0.007458569898805181, 0.0034383986938424076, 2.001461502854581]","[1, 3, 3, 4]"
631,omp,5,22,1.0,0.915504482773942,0.9999987889173142,"['Bool[holding]', 'Bool[Exists(on,Nominal(a))]', 'Num[Exists(on,ontable)]', 'Num[Not(And(clear,ontable))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9976974950640062, -0.007474250787593456, 0.0032661448429683756, 0.0003797422720138553, 2.001403917144269]","[1, 3, 3, 4, 4]"
632,omp,6,22,1.0,0.9155044844471453,0.9999987870907355,"['Bool[holding]', 'Bool[Exists(on,Nominal(a))]', 'Num[Exists(on,ontable)]', 'Num[Not(And(holding,Nominal(a)))]', 'Num[Not(And(clear,ontable))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9976251193912636, -0.007383405792780905, 0.0032796380595467496, -0.0006785718603174626, 0.00036731625256501574, 2.001405913300675]","[1, 3, 3, 4, 4, 4]"
633,omp,7,22,1.0,0.9155044849277534,0.9999987865660722,"['Bool[holding]', 'Bool[Exists(on,Nominal(a))]', 'Bool[And(ontable,Nominal(a))]', 'Num[Exists(on,ontable)]', 'Num[Not(And(holding,Nominal(a)))]', 'Num[Not(And(clear,ontable))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9976396184638369, -0.007401570659458555, -0.00017834936232692412, 0.0033216198368384115, -0.0006340070736960917, 0.0003362974071555177, 2.0014264190967492]","[1, 3, 3, 3, 4, 4, 4]"
634,omp,8,22,1.0,0.9155044849277534,0.9999987865660722,"['Bool[holding]', 'Bool[Exists(on,Nominal(a))]', 'Bool[And(ontable,Nominal(a))]', 'Num[Exists(on,ontable)]', 'Num[Not(And(holding,Nominal(a)))]', 'Num[Not(And(clear,ontable))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9976396184638369, -0.007401570659458555, -0.00017834936232692412, 0.0033216198368384115, -0.0006340070736960917, 0.0003362974071555177, 2.0014264190967492]","[1, 3, 3, 3, 4, 4, 4]"
635,omp,9,22,1.0,0.9155044849277534,0.9999987865660722,"['Bool[holding]', 'Bool[Exists(on,Nominal(a))]', 'Bool[And(ontable,Nominal(a))]', 'Num[Exists(on,ontable)]', 'Num[Not(And(holding,Nominal(a)))]', 'Num[Not(And(clear,ontable))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9976396184638369, -0.007401570659458555, -0.00017834936232692412, 0.0033216198368384115, -0.0006340070736960917, 0.0003362974071555177, 2.0014264190967492]","[1, 3, 3, 3, 4, 4, 4]"
636,omp,1,23,0.0,0.9776440861356488,0.9776440861356488,"['Num[Exists(Star(on),Nominal(a))]']",[1.9675829902403856],[4]
637,omp,2,23,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
638,omp,3,23,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
639,omp,4,23,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
640,omp,5,23,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
641,omp,6,23,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
642,omp,7,23,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
643,omp,8,23,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
644,omp,9,23,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
645,omp,1,23,0.25,0.9720641438105099,0.9776440841290963,"['Num[Exists(Star(on),Nominal(a))]']",[1.9674950103500675],[4]
646,omp,2,23,0.25,0.9942645180795293,0.9999999878553342,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9993265856648788, 1.9998901900306023]","[1, 4]"
647,omp,3,23,0.25,0.9942645279351912,0.9999999779439842,"['Bool[holding]', 'Num[Forall(on,Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9995703877250361, -0.00034389517811599286, 1.9998795807912089]","[1, 3, 4]"
648,omp,4,23,0.25,0.9942645364289481,0.9999999694022345,"['Bool[holding]', 'Num[Forall(on,Nominal(a))]', 'Num[Not(And(clear,Nominal(a)))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9995761249546823, -0.00024400336490054485, -0.0008801866113313426, 2.0000403879873176]","[1, 3, 4, 4]"
649,omp,5,23,0.25,0.9942645384996712,0.999999967319811,"['Bool[holding]', 'Num[Forall(on,Nominal(a))]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Not(And(clear,Nominal(a)))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9995678778597262, -0.0002829607384427304, 0.0003227636923926265, -0.0008833423768939246, 2.000031636815023]","[1, 3, 4, 4, 4]"
650,omp,6,23,0.25,0.9942645390808539,0.9999999667353444,"['Bool[holding]', 'Num[Forall(on,Nominal(a))]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Not(And(holding,Nominal(a)))]', 'Num[Not(And(clear,Nominal(a)))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9995049699671711, -0.00024228733142912914, 0.00024548793468948295, -0.0004655543742107589, -0.0010111123401929476, 2.00006976728099]","[1, 3, 4, 4, 4, 4]"
651,omp,7,23,0.25,0.99426453931173,0.9999999665031638,"['Bool[holding]', 'Num[Forall(on,Nominal(a))]', 'Num[Exists(on,ontable)]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Not(And(holding,Nominal(a)))]', 'Num[Not(And(clear,Nominal(a)))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.999469913756491, -0.00022082464320290196, -9.176957752501802e-05, 0.00025491648064583796, -0.0004497222810483915, -0.0010033559143555555, 2.000055663839549]","[1, 3, 3, 4, 4, 4, 4]"
652,omp,8,23,0.25,0.99426453931173,0.9999999665031638,"['Bool[holding]', 'Num[Forall(on,Nominal(a))]', 'Num[Exists(on,ontable)]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Not(And(holding,Nominal(a)))]', 'Num[Not(And(clear,Nominal(a)))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.999469913756491, -0.00022082464320290196, -9.176957752501802e-05, 0.00025491648064583796, -0.0004497222810483915, -0.0010033559143555555, 2.000055663839549]","[1, 3, 3, 4, 4, 4, 4]"
653,omp,9,23,0.25,0.99426453931173,0.9999999665031638,"['Bool[holding]', 'Num[Forall(on,Nominal(a))]', 'Num[Exists(on,ontable)]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Not(And(holding,Nominal(a)))]', 'Num[Not(And(clear,Nominal(a)))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.999469913756491, -0.00022082464320290196, -9.176957752501802e-05, 0.00025491648064583796, -0.0004497222810483915, -0.0010033559143555555, 2.000055663839549]","[1, 3, 3, 4, 4, 4, 4]"
654,omp,1,23,0.5,0.9556454207764494,0.9776440614753819,"['Num[Exists(Star(on),Nominal(a))]']",[1.9678190415340473],[4]
655,omp,2,23,0.5,0.9774712455261566,0.9999999697721405,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9995009575271597, 2.0002198738289434]","[1, 4]"
656,omp,3,23,0.5,0.9774712835853712,0.9999999308274716,"['Bool[holding]', 'Num[Not(And(ontable,Nominal(a)))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9994957634481025, 0.0014143074288219507, 2.0002919992158588]","[1, 4, 4]"
657,omp,4,23,0.5,0.977471301107561,0.999999912897625,"['Bool[holding]', 'Num[ontable]', 'Num[Not(And(ontable,Nominal(a)))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9996373832562997, 0.0005449989592947218, 0.0017906475735444164, 2.000439757228469]","[1, 1, 4, 4]"
658,omp,5,23,0.5,0.9774713047366661,0.9999999091840882,"['Bool[holding]', 'Num[ontable]', 'Num[Not(And(ontable,Nominal(a)))]', 'Num[Not(And(holding,Nominal(a)))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9995305033505291, 0.0005557421678507422, 0.0017387156565661446, -0.0009502449324629651, 2.000464212026323]","[1, 1, 4, 4, 4]"
659,omp,6,23,0.5,0.9774713053322808,0.9999999085746165,"['Bool[holding]', 'Num[ontable]', 'Num[Exists(on,ontable)]', 'Num[Not(And(ontable,Nominal(a)))]', 'Num[Not(And(holding,Nominal(a)))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9995097989338669, 0.0005910559220558699, -0.00014594410502695053, 0.0017261097051606612, -0.0009355789403304844, 2.0004512767669387]","[1, 1, 3, 4, 4, 4]"
